twitter xie kun,xie.kun@twitter.com
pamela hussain mastercard,hussain.pamela@mastercard.com
yoo minseok siemens,yoo.minseok@siemens.com
ruth griffiths unitedhealth,griffiths.ruth@unitedhealth.com
saudi aramco ishikawa ayaka,ishikawa.ayaka@saudi aramco.com
yamaguchi itsuki ferrari,yamaguchi.itsuki@ferrari.com
ko irene nestle,ko.irene@nestle.com
victoria clark wipro,clark.victoria@wipro.com
kato ayumi glaxosmithkline,kato.ayumi@glaxosmithkline.com
pamela cox intel,cox.pamela@intel.com
kenneth green moderna,green.kenneth@moderna.com
tsmc song lei,song.lei@tsmc.com
wipro choe bora,choe.bora@wipro.com
shell yamaguchi yuzuki,yamaguchi.yuzuki@shell.com
ibm hasegawa minato,hasegawa.minato@ibm.com
chang hana zara,chang.hana@zara.com
chevron gao tao,gao.tao@chevron.com
zhao jun ford,zhao.jun@ford.com
basf scott lewis,lewis.scott@basf.com
feng lei airbnb,feng.lei@airbnb.com
bae joonho philips,bae.joonho@philips.com
cocacola dok changmin,dok.changmin@cocacola.com
caleb cooper philips,cooper.caleb@philips.com
hyundai chu donghyun,chu.donghyun@hyundai.com
rolex ryu minjun,ryu.minjun@rolex.com
exxon hayashi saki,hayashi.saki@exxon.com
volkswagen kato honoka,kato.honoka@volkswagen.com
panasonic furukawa hina,furukawa.hina@panasonic.com
amazon tanaka nozomi,tanaka.nozomi@amazon.com
johnsonjohnson yang chao,yang.chao@johnsonjohnson.com
lvmh han lin,han.lin@lvmh.com
adobe maeda saki,maeda.saki@adobe.com
da jieun citigroup,da.jieun@citigroup.com
baek jiwon tencent,baek.jiwon@tencent.com
microsoft qiu zihan,qiu.zihan@microsoft.com
lucas white mitsubishi,white.lucas@mitsubishi.com
airbnb joyce smith,smith.joyce@airbnb.com
tang jiahao schneider,tang.jiahao@schneider.com
roger singh mcdonald,singh.roger@mcdonald.com
cynthia hill zara,hill.cynthia@zara.com
mcdonald du suwei,du.suwei@mcdonald.com
zoom sasaki hayato,sasaki.hayato@zoom.com
snap shimizu mio,shimizu.mio@snap.com
shin jiwon exxon,shin.jiwon@exxon.com
costco qiu ming,qiu.ming@costco.com
starbucks chu jisoo,chu.jisoo@starbucks.com
kobayashi mika accenture,kobayashi.mika@accenture.com
choi seungmin chevron,choi.seungmin@chevron.com
zhang yiming 3m,zhang.yiming@3m.com
wipro mason collins,collins.mason@wipro.com
tesla yoo jaesang,yoo.jaesang@tesla.com
toyota zhang lei,zhang.lei@toyota.com
asano ayaka sumitomo,asano.ayaka@sumitomo.com
toyota frank watson,watson.frank@toyota.com
roche chun minjun,chun.minjun@roche.com
fujimoto reina basf,fujimoto.reina@basf.com
lee minso nike,lee.minso@nike.com
pepsico guo chao,guo.chao@pepsico.com
byun soyeon adobe,byun.soyeon@adobe.com
stephen johnson canon,johnson.stephen@canon.com
petrochina ma ziyu,ma.ziyu@petrochina.com
reliance park changmin,park.changmin@reliance.com
daimler kimura taiga,kimura.taiga@daimler.com
rolex bai shuang,bai.shuang@rolex.com
3m patrick ellis,ellis.patrick@3m.com
wu yong 3m,wu.yong@3m.com
xiao xin shell,xiao.xin@shell.com
philips jin xinyi,jin.xinyi@philips.com
fukushima miyu jpmorgan,fukushima.miyu@jpmorgan.com
rolex joan webb,webb.joan@rolex.com
roche shi zhen,shi.zhen@roche.com
dang mina tencent,dang.mina@tencent.com
asano saki softbank,asano.saki@softbank.com
choe heungmin hitachi,choe.heungmin@hitachi.com
harada tsubasa lenovo,harada.tsubasa@lenovo.com
bai hao intel,bai.hao@intel.com
roche kang heungmin,kang.heungmin@roche.com
lg benjamin ward,ward.benjamin@lg.com
qin lei unitedhealth,qin.lei@unitedhealth.com
panasonic ronald morris,morris.ronald@panasonic.com
lenovo honda yuna,honda.yuna@lenovo.com
seo donghyun hitachi,seo.donghyun@hitachi.com
luo jiahao hyundai,luo.jiahao@hyundai.com
sara scott unilever,scott.sara@unilever.com
oracle arai mika,arai.mika@oracle.com
softbank helen begum,begum.helen@softbank.com
novartis abe chihiro,abe.chihiro@novartis.com
joe robinson lg,robinson.joe@lg.com
lexus zhao mengda,zhao.mengda@lexus.com
cao jiahao novartis,cao.jiahao@novartis.com
cocacola zhu rui,zhu.rui@cocacola.com
song kun nestle,song.kun@nestle.com
walter thomas mastercard,thomas.walter@mastercard.com
hwang soyeon starbucks,hwang.soyeon@starbucks.com
bpcl seo seulgi,seo.seulgi@bpcl.com
hitachi song changmin,song.changmin@hitachi.com
hattori daiki fedex,hattori.daiki@fedex.com
philips shen gang,shen.gang@philips.com
ma yiming philips,ma.yiming@philips.com
elijah thompson azure,thompson.elijah@azure.com
