paypal angela ali,ali.angela@paypal.com
nvidia song yeonwoo,song.yeonwoo@nvidia.com
katherine johnson pfizer,johnson.katherine@pfizer.com
cao rui sony,cao.rui@sony.com
jung subin twitter,jung.subin@twitter.com
toyota fukui airi,fukui.airi@toyota.com
microsoft billy simpson,simpson.billy@microsoft.com
melissa richardson reliance,richardson.melissa@reliance.com
softbank roger mason,mason.roger@softbank.com
daimler shon seojun,shon.seojun@daimler.com
byd hae heungmin,hae.heungmin@byd.com
kondo sho lvmh,kondo.sho@lvmh.com
bpcl wei jiahao,wei.jiahao@bpcl.com
sim hyunwoo vodafone,sim.hyunwoo@vodafone.com
liu zihan toyota,liu.zihan@toyota.com
wang zhihe paypal,wang.zhihe@paypal.com
schneider hamada rina,hamada.rina@schneider.com
toyota zhu zhen,zhu.zhen@toyota.com
panasonic deng haoran,deng.haoran@panasonic.com
deutsche bank hara ren,hara.ren@deutsche bank.com
tanaka momoka siemens,tanaka.momoka@siemens.com
aoki taiga zara,aoki.taiga@zara.com
tencent jim wood,wood.jim@tencent.com
siemens go taeyang,go.taeyang@siemens.com
du mengda exxon,du.mengda@exxon.com
lin juan glaxosmithkline,lin.juan@glaxosmithkline.com
zara bae jiwon,bae.jiwon@zara.com
baek yeonwoo airtel,baek.yeonwoo@airtel.com
toyota ito rina,ito.rina@toyota.com
sony jung minso,jung.minso@sony.com
jeon jimin sony,jeon.jimin@sony.com
mastercard zhang suwei,zhang.suwei@mastercard.com
li peng sony,li.peng@sony.com
roche liu lei,liu.lei@roche.com
vodafone fujita aoi,fujita.aoi@vodafone.com
canon hwang soyeon,hwang.soyeon@canon.com
hashimoto koki sony,hashimoto.koki@sony.com
pang seungmin berkshire hathaway,pang.seungmin@berkshire hathaway.com
kayla walker basf,walker.kayla@basf.com
liu fang moderna,liu.fang@moderna.com
samsung zhu yiming,zhu.yiming@samsung.com
oracle song gang,song.gang@oracle.com
tesla tang weiwei,tang.weiwei@tesla.com
philips terry owen,owen.terry@philips.com
uber yang zhihao,yang.zhihao@uber.com
wei weiwei samsung,wei.weiwei@samsung.com
lg watanabe tsubasa,watanabe.tsubasa@lg.com
andrea wilson wipro,wilson.andrea@wipro.com
citigroup eric martin,martin.eric@citigroup.com
wang zihan ford,wang.zihan@ford.com
xiao suwei intel,xiao.suwei@intel.com
fukui yuki mitsubishi,fukui.yuki@mitsubishi.com
gary morris hsbc,morris.gary@hsbc.com
yoon hana hp,yoon.hana@hp.com
lisa cook infosys,cook.lisa@infosys.com
nakamura hina amazon,nakamura.hina@amazon.com
fujita yuki saudi aramco,fujita.yuki@saudi aramco.com
ko soyeon microsoft,ko.soyeon@microsoft.com
dai na bytedance,dai.na@bytedance.com
yu jian american express,yu.jian@american express.com
zoom carl shaw,shaw.carl@zoom.com
natalie griffiths disney,griffiths.natalie@disney.com
zhao qiang ups,zhao.qiang@ups.com
aoki taiga lyft,aoki.taiga@lyft.com
alice ward mcdonald,ward.alice@mcdonald.com
toyota hwang eunji,hwang.eunji@toyota.com
bao jun toyota,bao.jun@toyota.com
apple daniel lewis,lewis.daniel@apple.com
oracle ha yerin,ha.yerin@oracle.com
wu haoran bp,wu.haoran@bp.com
goto airi ford,goto.airi@ford.com
choi jisoo walmart,choi.jisoo@walmart.com
dok yuna infosys,dok.yuna@infosys.com
randy richardson daimler,richardson.randy@daimler.com
guo lei snap,guo.lei@snap.com
vodafone tang hui,tang.hui@vodafone.com
airtel chen kai,chen.kai@airtel.com
denise campbell ibm,campbell.denise@ibm.com
tencent denise taylor,taylor.denise@tencent.com
ferrari zhang dong,zhang.dong@ferrari.com
seo chaeyoung alphabet,seo.chaeyoung@alphabet.com
azure fujita koharu,fujita.koharu@azure.com
reliance vincent ward,ward.vincent@reliance.com
intel hashimoto tsubasa,hashimoto.tsubasa@intel.com
3m sandra morris,morris.sandra@3m.com
canon jose miller,miller.jose@canon.com
fujii aoi audi,fujii.aoi@audi.com
jeon minso starbucks,jeon.minso@starbucks.com
gabriel cooper lexus,cooper.gabriel@lexus.com
ibm dong guodong,dong.guodong@ibm.com
wang dong moderna,wang.dong@moderna.com
apple luo hongda,luo.hongda@apple.com
reliance chen hui,chen.hui@reliance.com
lyft shimizu airi,shimizu.airi@lyft.com
aoyama honoka google,aoyama.honoka@google.com
cho yerin lenovo,cho.yerin@lenovo.com
3m bryan mitchell,mitchell.bryan@3m.com
allianz zhou pengfei,zhou.pengfei@allianz.com
ishii akari hyundai,ishii.akari@hyundai.com
robert young allianz,young.robert@allianz.com
