accenture tanaka haruto,tanaka.haruto@accenture.com
ikeda rin zoom,ikeda.rin@zoom.com
lvmh yamamoto kenta,yamamoto.kenta@lvmh.com
disney judith rogers,rogers.judith@disney.com
endo itsuki wipro,endo.itsuki@wipro.com
feng yiming basf,feng.yiming@basf.com
adobe shimizu sakura,shimizu.sakura@adobe.com
hattori yuzuki toyota,hattori.yuzuki@toyota.com
hwang youngho basf,hwang.youngho@basf.com
lu kun shell,lu.kun@shell.com
ford kathy watson,watson.kathy@ford.com
han minso ford,han.minso@ford.com
helen wilkinson dhl,wilkinson.helen@dhl.com
disney rachel murphy,murphy.rachel@disney.com
hp asano emi,asano.emi@hp.com
lg yamaguchi airi,yamaguchi.airi@lg.com
meta choe donghyun,choe.donghyun@meta.com
scott bell porsche,bell.scott@porsche.com
wang weiwei uber,wang.weiwei@uber.com
ubs byun jisoo,byun.jisoo@ubs.com
canon oh nayeon,oh.nayeon@canon.com
audi jesse allen,allen.jesse@audi.com
yoo heungmin fedex,yoo.heungmin@fedex.com
johnsonjohnson lu haoran,lu.haoran@johnsonjohnson.com
jeremiah shaw ikea,shaw.jeremiah@ikea.com
ryu ara cocacola,ryu.ara@cocacola.com
allianz keith moore,moore.keith@allianz.com
sinopec henry jones,jones.henry@sinopec.com
visa sasaki itsuki,sasaki.itsuki@visa.com
jung seojun glaxosmithkline,jung.seojun@glaxosmithkline.com
azure shin jimin,shin.jimin@azure.com
hasegawa daiki volkswagen,hasegawa.daiki@volkswagen.com
song jiho hitachi,song.jiho@hitachi.com
bmw zhou haoran,zhou.haoran@bmw.com
ford kwon seulgi,kwon.seulgi@ford.com
hsbc inoue yuto,inoue.yuto@hsbc.com
liu chao rolex,liu.chao@rolex.com
disney honda ayaka,honda.ayaka@disney.com
amanda walker ubs,walker.amanda@ubs.com
tang zhihao unilever,tang.zhihao@unilever.com
lim minjun airbnb,lim.minjun@airbnb.com
amazon jang haeun,jang.haeun@amazon.com
theresa white ups,white.theresa@ups.com
fedex jill jackson,jackson.jill@fedex.com
nakamura asuka azure,nakamura.asuka@azure.com
sato tsubasa huawei,sato.tsubasa@huawei.com
nvidia jin pengfei,jin.pengfei@nvidia.com
jill thomas dell,thomas.jill@dell.com
zoom qiu jielun,qiu.jielun@zoom.com
mcdonald shen lili,shen.lili@mcdonald.com
novartis dang eunji,dang.eunji@novartis.com
fukuda nana daimler,fukuda.nana@daimler.com
hattori hina intel,hattori.hina@intel.com
logan hughes sumitomo,hughes.logan@sumitomo.com
ubs kathy moore,moore.kathy@ubs.com
kwon eunji toyota,kwon.eunji@toyota.com
3m hara takumi,hara.takumi@3m.com
choi haeun 3m,choi.haeun@3m.com
dhl suzuki riku,suzuki.riku@dhl.com
shin sungmin glaxosmithkline,shin.sungmin@glaxosmithkline.com
microsoft huang xinyi,huang.xinyi@microsoft.com
netflix go minji,go.minji@netflix.com
samantha smith lexus,smith.samantha@lexus.com
xu weiwei shell,xu.weiwei@shell.com
xie xin nike,xie.xin@nike.com
hp chang jieun,chang.jieun@hp.com
furukawa airi ferrari,furukawa.airi@ferrari.com
shon minso sap,shon.minso@sap.com
nike xiao suwei,xiao.suwei@nike.com
microsoft jason morgan,morgan.jason@microsoft.com
hattori emi daimler,hattori.emi@daimler.com
virginia anderson azure,anderson.virginia@azure.com
arai saki saudi aramco,arai.saki@saudi aramco.com
amazon ma jielun,ma.jielun@amazon.com
meta cho seojun,cho.seojun@meta.com
zoom patrick griffiths,griffiths.patrick@zoom.com
sinopec melinda kelly,kelly.melinda@sinopec.com
tesla hae bora,hae.bora@tesla.com
mitsubishi liang bin,liang.bin@mitsubishi.com
pang haeun unilever,pang.haeun@unilever.com
walmart he bin,he.bin@walmart.com
shon woojin schneider,shon.woojin@schneider.com
sony choe subin,choe.subin@sony.com
saudi aramco mary anderson,anderson.mary@saudi aramco.com
volkswagen aoki sota,aoki.sota@volkswagen.com
huang haoran nike,huang.haoran@nike.com
chen hui ubs,chen.hui@ubs.com
furukawa yuzuki snap,furukawa.yuzuki@snap.com
jin fang lg,jin.fang@lg.com
hannah webb deutsche bank,webb.hannah@deutsche bank.com
lenovo ma yifan,ma.yifan@lenovo.com
isaac james samsung,james.isaac@samsung.com
toyota han jun,han.jun@toyota.com
fedex song hao,song.hao@fedex.com
kobayashi nozomi toyota,kobayashi.nozomi@toyota.com
basf bao jin,bao.jin@basf.com
hannah evans lexus,evans.hannah@lexus.com
allianz yu ming,yu.ming@allianz.com
hong shuang volkswagen,hong.shuang@volkswagen.com
angela murphy bp,murphy.angela@bp.com
